county,county_code,state,pop_total,pct_aian,pct_asian,pct_black,pct_nonwhite,pct_white,pm_24hr
Harrison County,48203,Texas,65631,0.00681080586917768,0.00516524203501394,0.219378037817495,0.314043668388414,0.685956331611586,23
Hidalgo County,48215,Texas,774769,0.00334164118595349,0.00965190914969494,0.00589724162944052,0.120190663281572,0.879809336718428,33
Jefferson County,48245,Texas,252273,0.00547422831614957,0.0342089720263366,0.338090084947656,0.478445969247601,0.521554030752399,24
Kleberg County,48273,Texas,32061,0.0061133464333614,0.0234240978135429,0.0374598421758523,0.200960668725243,0.799039331274758,33
Lubbock County,48303,Texas,278831,0.00731625966983585,0.0206325695492969,0.0751422904913729,0.227062270694435,0.772937729305565,15
Maverick County,48323,Texas,54258,0.0118323565188544,0.00326219175052527,0.00248811235209554,0.0855357735264846,0.914464226473515,24
Nueces County,48355,Texas,340223,0.00625472116817499,0.0168448341235014,0.0400825341026327,0.184646540651279,0.815353459348721,27
Orange County,48361,Texas,81837,0.00520546940870267,0.00982440705304447,0.0852792746557181,0.138800298153647,0.861199701846353,22
Potter County,48375,Texas,121073,0.00829251773723291,0.0398272116822083,0.102128467949089,0.301883987346477,0.698116012653523,15
Tarrant County,48439,Texas,1809034,0.00653774334810733,0.0467437317374908,0.148688747696284,0.33360567020852,0.66639432979148,23
Travis County,48453,Texas,1024266,0.00835232254121488,0.0579273352820459,0.0852395764381518,0.307002282610181,0.692997717389819,23
Webb County,48479,Texas,250304,0.0040191127588852,0.00584888775249297,0.00452250063922271,0.120265756839683,0.879734243160317,28
Cache County,49005,Utah,112656,0.00612484022155944,0.0188361028263031,0.00618697628177816,0.108817994603039,0.891182005396961,29
Davis County,49011,Utah,306479,0.00464632160767948,0.0176716838674102,0.0120791310334476,0.0995924679994388,0.900407532000561,27
Duchesne County,49013,Utah,18607,0.0452517869618961,0.00279464717579406,0.00236470145644112,0.108453807706777,0.891546192293223,23
Iron County,49021,Utah,46163,0.0220739553321925,0.00756016723349869,0.00491735805731863,0.0934731278296471,0.906526872170353,17
Salt Lake County,49035,Utah,1029655,0.00889327007589921,0.0330081435043777,0.0159315498880693,0.188005691226673,0.811994308773327,33
Tooele County,49045,Utah,58218,0.00967054862757223,0.00642412999415988,0.00697378817547838,0.0929952935518225,0.907004706448178,26
Uintah County,49047,Utah,32588,0.0769915306247699,0.00509389959494292,0.00371302319872346,0.133668835154044,0.866331164845956,22
Utah County,49049,Utah,516564,0.00595085991280848,0.0136130276209724,0.00541849606244338,0.10606430180965,0.89393569819035,26
Washington County,49053,Utah,138115,0.0135322014263476,0.0071100170148065,0.00571987112189118,0.102820113673388,0.897179886326612,17
Weber County,49057,Utah,231236,0.0082253628327769,0.0125888702451175,0.0135619021259665,0.147619747790136,0.852380252209863,23
Bennington County,50003,Vermont,37125,0.00253198653198653,0.00724579124579125,0.0082962962962963,0.0341279461279461,0.965872053872054,18
Chittenden County,50007,Vermont,156545,0.00264460698201795,0.0281005461688332,0.0212015714331342,0.075332971350091,0.924667028649909,18
Rutland County,50021,Vermont,61642,0.00243340579475033,0.00600240096038415,0.00541838356964407,0.0294117647058824,0.970588235294118,22
Albemarle County,51003,Virginia,98970,0.00254622612913004,0.046731332727089,0.0969990906335253,0.194321511569162,0.805678488430838,12
