state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school,was_confederate
Alabama,Autauga,G0100010,9607,16739,54571,9643,42855,28082,58592,57.3929147499851,1,1
Alabama,Baldwin,G0100030,3714,7530,182265,17105,156153,28579,52455,49.3227091633466,1,1
Alabama,Barbour,G0100050,16150,30812,27457,12875,13180,21101,42570,52.414643645333,1,1
Alabama,Bibb,G0100070,3842,11894,22915,5047,17381,21153,43874,32.3020010089121,1,1
Alabama,Blount,G0100090,666,10865,57322,761,53068,21070,46124,6.12977450529222,1,1
Alabama,Butler,G0100130,6818,18122,20947,9095,11399,21309,38202,37.6227789427216,1,1
Alabama,Calhoun,G0100150,4342,21539,118572,24382,88840,22163,42775,20.1587817447421,1,1
Alabama,Chambers,G0100170,11849,23214,34215,13257,20112,23236,38009,51.0424743689153,1,1
Alabama,Cherokee,G0100190,3002,18360,25989,1208,24081,19375,41102,16.3507625272331,1,1
Alabama,Choctaw,G0100230,7094,13877,13859,6012,7731,19985,40032,51.1205591986741,1,1
