year,month,day,wday,pct_delayed,n_delayed,n_flights,pct_weather_delays,pct_security_delays,is_weekend,time
2008,5,10,6,26.3941605839416,904,3429,1.86643336249635,0.670749489647128,1,131
2008,5,11,7,39.8967420331138,2241,5626,3.05723426946321,0.426590828297192,1,132
2008,5,12,1,40.8409859835669,2535,6222,2.55544840887175,0.353584056573449,0,133
2008,5,13,2,34.8756218905473,1402,4029,2.82948622486969,0.124100273020601,0,134
2008,5,14,3,41.0883856829803,2250,5495,5.89626933575978,0.0909918107370337,0,135
2008,5,15,4,31.6519327439764,1826,5772,2.66805266805267,0.346500346500347,0,136
2008,5,16,5,41.8554006968641,2883,6892,3.90307603017992,0.232153221125943,0,137
2008,5,17,6,26.7326732673267,810,3033,0.461589185624794,0.19782393669634,1,138
2008,5,18,7,34.7088395475492,1657,4790,2.27557411273486,0.292275574112735,1,139
2008,5,19,1,33.6860330896499,1751,5206,1.38301959277756,0.326546292739147,0,140
2008,5,20,2,45.499524262607,2391,5269,4.97248054659328,0.151831467071551,0,141
2008,5,21,3,30.6404958677686,1483,4852,1.13355317394889,0.329760923330585,0,142
2008,5,22,4,47.077258482082,3455,7360,3.45108695652174,0.529891304347826,0,143
2008,5,23,5,39.5970149253731,2653,6711,3.2185963343764,0.253315452242587,0,144
2008,5,24,6,30.5328983143013,1123,3687,2.54949823704909,0.27122321670735,1,145
2008,5,25,7,29.7097884899164,604,2037,1.66912125675012,0.343642611683849,1,146
2008,5,26,1,31.9005136523385,1180,3702,1.70178282009724,0.513236088600756,0,147
2008,5,27,2,49.1089472717252,2673,5507,11.7668422008353,0.290539313600872,0,148
2008,5,28,3,31.4797580269893,1353,4300,1.53488372093023,0.395348837209302,0,149
2008,5,29,4,30.8922124806601,1198,3879,1.85614849187935,0.206238721319928,0,150
2008,5,30,5,46.3996991915774,2468,5330,3.95872420262664,0.150093808630394,0,151
2008,5,31,6,47.9398299542185,2199,4609,5.74962030809286,1.10653070080278,1,152
2008,6,1,7,35.2745098039216,1799,5110,3.03326810176125,0.606653620352251,1,153
2008,6,2,1,30.0616787342451,1121,3735,2.14190093708166,0.374832663989291,0,154
2008,6,3,2,50.3265534614667,2697,5389,5.64112080163296,0.129894228984969,0,155
2008,6,4,3,57.4810480117037,4322,7559,9.14142082286017,0.158751157560524,0,156
2008,6,5,4,50.0513478818999,3899,7830,4.46998722860792,0.280970625798212,0,157
